Order_ID,Order_Date,Customer_ID,Customer_Name,Plant,Product_Type,Quantity_Ordered,Defects_Reported,Order_Status
PO-10027,2024-01-28,CUST-102,Mercedes-Benz AG,Nuremberg,ADAS ECU,319,1,Completed
PO-10028,2024-01-29,CUST-102,Mercedes-Benz AG,Hanover,Body ECU,241,1,Completed
PO-10029,2024-01-30,CUST-100,BMW Group,Bremen,Engine ECU,224,3,Shipped
PO-10030,2024-01-31,CUST-102,Mercedes-Benz AG,Berlin,Transmission ECU,334,2,Shipped
PO-10031,2024-02-01,CUST-100,BMW Group,Berlin,ADAS ECU,253,5,Completed
PO-10032,2024-02-02,CUST-100,BMW Group,Munich,ABS ECU,213,1,Completed
PO-10033,2024-02-03,CUST-106,Ford-Werke GmbH,Munich,ABS ECU,300,3,Completed
PO-10034,2024-02-04,CUST-106,Ford-Werke GmbH,Stuttgart,ADAS ECU,276,2,Completed
PO-10035,2024-02-05,CUST-104,Audi AG,Hanover,Battery ECU,485,3,Completed
PO-10036,2024-02-06,CUST-101,Volkswagen Group,Wolfsburg,ABS ECU,430,3,Completed
PO-10037,2024-02-07,CUST-100,BMW Group,Munich,Body ECU,56,3,Completed
PO-10038,2024-02-08,CUST-103,Porsche AG,Leipzig,Engine ECU,78,0,Completed
PO-10039,2024-02-09,CUST-101,Volkswagen Group,Dresden,Body ECU,444,3,Completed
PO-10040,2024-02-10,CUST-100,BMW Group,Bremen,ABS ECU,82,2,Completed
PO-10041,2024-02-11,CUST-101,Volkswagen Group,Munich,Transmission ECU,183,1,Completed
PO-10042,2024-02-12,CUST-100,BMW Group,Leipzig,Engine ECU,416,2,Completed
PO-10043,2024-02-13,CUST-105,Opel Automobile GmbH,Leipzig,Engine ECU,128,3,Completed
PO-10044,2024-02-14,CUST-101,Volkswagen Group,Bremen,ADAS ECU,465,0,Completed
PO-10045,2024-02-15,CUST-102,Mercedes-Benz AG,Wolfsburg,ADAS ECU,484,2,Completed
PO-10046,2024-02-16,CUST-101,Volkswagen Group,Leipzig,Transmission ECU,107,0,Completed
PO-10047,2024-02-17,CUST-102,Mercedes-Benz AG,Dresden,Battery ECU,75,0,Completed
PO-10048,2024-02-18,CUST-102,Mercedes-Benz AG,Leipzig,Engine ECU,479,2,Completed
PO-10049,2024-02-19,CUST-100,BMW Group,Leipzig,Transmission ECU,275,1,Completed
PO-10050,2024-02-20,CUST-106,Ford-Werke GmbH,Leipzig,ADAS ECU,334,0,Shipped
PO-10051,2024-02-21,CUST-103,Porsche AG,Nuremberg,ADAS ECU,53,1,Completed
PO-10052,2024-02-22,CUST-105,Opel Automobile GmbH,Nuremberg,Engine ECU,148,2,Completed
PO-10053,2024-02-23,CUST-104,Audi AG,Wolfsburg,Body ECU,446,3,Completed
PO-10054,2024-02-24,CUST-102,Mercedes-Benz AG,Munich,ABS ECU,88,4,Completed
PO-10055,2024-02-25,CUST-105,Opel Automobile GmbH,Leipzig,ADAS ECU,320,2,Completed
PO-10056,2024-02-26,CUST-100,BMW Group,Hanover,Battery ECU,424,2,Completed
PO-10057,2024-02-27,CUST-100,BMW Group,Munich,Battery ECU,334,2,Completed
PO-10058,2024-02-28,CUST-100,BMW Group,Wolfsburg,ADAS ECU,206,0,Completed
PO-10059,2024-02-29,CUST-101,Volkswagen Group,Ingolstadt,Body ECU,124,2,Completed
PO-10060,2024-03-01,CUST-101,Volkswagen Group,Munich,Body ECU,421,3,Completed
PO-10061,2024-03-02,CUST-101,Volkswagen Group,Munich,Transmission ECU,337,1,Processing
PO-10062,2024-03-03,CUST-104,Audi AG,Regensburg,Battery ECU,179,6,Completed
PO-10063,2024-03-04,CUST-101,Volkswagen Group,Stuttgart,Transmission ECU,224,1,Completed
PO-10064,2024-03-05,CUST-101,Volkswagen Group,Regensburg,Battery ECU,133,3,Completed
PO-10065,2024-03-06,CUST-102,Mercedes-Benz AG,Dresden,ABS ECU,71,1,Processing
PO-10066,2024-03-07,CUST-100,BMW Group,Nuremberg,ABS ECU,76,1,Completed
PO-10067,2024-03-08,CUST-104,Audi AG,Nuremberg,Engine ECU,244,3,Completed
PO-10068,2024-03-09,CUST-100,BMW Group,Stuttgart,Transmission ECU,386,3,Completed
PO-10069,2024-03-10,CUST-107,MAN Truck & Bus,Bremen,ADAS ECU,431,3,Completed
PO-10070,2024-03-11,CUST-103,Porsche AG,Bremen,Transmission ECU,285,1,Completed
PO-10071,2024-03-12,CUST-100,BMW Group,Wolfsburg,ADAS ECU,489,6,Completed
PO-10072,2024-03-13,CUST-100,BMW Group,Berlin,Body ECU,141,0,Completed
PO-10073,2024-03-14,CUST-104,Audi AG,Stuttgart,Transmission ECU,70,1,Completed
PO-10074,2024-03-15,CUST-103,Porsche AG,Munich,Body ECU,352,4,Completed
PO-10075,2024-03-16,CUST-103,Porsche AG,Bremen,ABS ECU,406,0,Completed
PO-10076,2024-03-17,CUST-103,Porsche AG,Leipzig,ABS ECU,492,5,Completed
PO-10077,2024-03-18,CUST-100,BMW Group,Berlin,Engine ECU,133,2,Completed
PO-10078,2024-03-19,CUST-101,Volkswagen Group,Hanover,Transmission ECU,311,1,Completed
PO-10079,2024-03-20,CUST-100,BMW Group,Munich,Body ECU,196,0,Processing
PO-10080,2024-03-21,CUST-104,Audi AG,Dresden,ADAS ECU,490,0,Completed
PO-10081,2024-03-22,CUST-102,Mercedes-Benz AG,Leipzig,ABS ECU,436,4,Completed
PO-10082,2024-03-23,CUST-101,Volkswagen Group,Leipzig,ABS ECU,306,2,Completed
PO-10083,2024-03-24,CUST-100,BMW Group,Stuttgart,ADAS ECU,107,2,Processing
PO-10084,2024-03-25,CUST-101,Volkswagen Group,Berlin,Body ECU,429,1,Completed
PO-10085,2024-03-26,CUST-101,Volkswagen Group,Wolfsburg,Body ECU,471,0,Completed
PO-10086,2024-03-27,CUST-103,Porsche AG,Dresden,Transmission ECU,64,2,Completed
PO-10087,2024-03-28,CUST-102,Mercedes-Benz AG,Bremen,Transmission ECU,211,1,Completed
PO-10088,2024-03-29,CUST-104,Audi AG,Stuttgart,Battery ECU,494,3,Completed
PO-10089,2024-03-30,CUST-101,Volkswagen Group,Bremen,Battery ECU,212,0,Completed
PO-10090,2024-03-31,CUST-100,BMW Group,Stuttgart,Engine ECU,369,1,Completed
PO-10091,2024-04-01,CUST-103,Porsche AG,Stuttgart,ABS ECU,330,1,Processing
PO-10092,2024-04-02,CUST-103,Porsche AG,Stuttgart,Transmission ECU,329,4,Completed
PO-10093,2024-04-03,CUST-102,Mercedes-Benz AG,Berlin,Body ECU,61,3,Completed
PO-10094,2024-04-04,CUST-103,Porsche AG,Wolfsburg,ADAS ECU,323,2,Completed
PO-10095,2024-04-05,CUST-101,Volkswagen Group,Stuttgart,Body ECU,320,2,Completed
PO-10096,2024-04-06,CUST-102,Mercedes-Benz AG,Ingolstadt,ABS ECU,257,2,Completed
PO-10097,2024-04-07,CUST-101,Volkswagen Group,Hanover,Battery ECU,76,2,Completed
PO-10098,2024-04-08,CUST-100,BMW Group,Bremen,Body ECU,121,2,Completed
PO-10099,2024-04-09,CUST-100,BMW Group,Munich,Engine ECU,109,1,Shipped
PO-10100,2024-04-10,CUST-100,BMW Group,Regensburg,ABS ECU,479,0,Shipped
PO-10101,2024-04-11,CUST-102,Mercedes-Benz AG,Dresden,Battery ECU,194,4,Completed
PO-10102,2024-04-12,CUST-101,Volkswagen Group,Nuremberg,ADAS ECU,142,0,Completed
PO-10103,2024-04-13,CUST-102,Mercedes-Benz AG,Wolfsburg,Battery ECU,358,3,Shipped
PO-10104,2024-04-14,CUST-105,Opel Automobile GmbH,Munich,Engine ECU,57,1,Completed
PO-10105,2024-04-15,CUST-100,BMW Group,Leipzig,ABS ECU,128,2,Shipped
PO-10106,2024-04-16,CUST-101,Volkswagen Group,Ingolstadt,ADAS ECU,76,2,Completed
PO-10107,2024-04-17,CUST-103,Porsche AG,Nuremberg,Engine ECU,223,5,Completed
PO-10108,2024-04-18,CUST-100,BMW Group,Regensburg,Battery ECU,99,1,Completed
PO-10109,2024-04-19,CUST-100,BMW Group,Munich,Engine ECU,248,1,Completed
PO-10110,2024-04-20,CUST-101,Volkswagen Group,Nuremberg,ABS ECU,436,5,Completed
PO-10111,2024-04-21,CUST-100,BMW Group,Munich,Transmission ECU,398,1,Completed
PO-10112,2024-04-22,CUST-105,Opel Automobile GmbH,Ingolstadt,Engine ECU,497,1,Completed
PO-10113,2024-04-23,CUST-104,Audi AG,Regensburg,Engine ECU,477,3,Completed
PO-10114,2024-04-24,CUST-102,Mercedes-Benz AG,Leipzig,Battery ECU,230,0,Completed
PO-10115,2024-04-25,CUST-104,Audi AG,Stuttgart,Battery ECU,73,1,Processing
PO-10116,2024-04-26,CUST-104,Audi AG,Bremen,ADAS ECU,365,0,Completed
PO-10117,2024-04-27,CUST-100,BMW Group,Leipzig,Battery ECU,427,0,Shipped
PO-10118,2024-04-28,CUST-104,Audi AG,Stuttgart,Body ECU,436,3,Completed
PO-10119,2024-04-29,CUST-102,Mercedes-Benz AG,Berlin,ABS ECU,453,3,Completed
PO-10120,2024-04-30,CUST-104,Audi AG,Berlin,ABS ECU,95,1,Processing
PO-10121,2024-05-01,CUST-104,Audi AG,Berlin,Transmission ECU,64,2,Completed
PO-10122,2024-05-02,CUST-101,Volkswagen Group,Wolfsburg,Transmission ECU,202,0,Completed
PO-10123,2024-05-03,CUST-100,BMW Group,Hanover,ABS ECU,271,0,Completed
PO-10124,2024-05-04,CUST-100,BMW Group,Dresden,Transmission ECU,255,4,Completed
PO-10125,2024-05-05,CUST-101,Volkswagen Group,Dresden,ADAS ECU,322,1,Completed
PO-10126,2024-05-06,CUST-104,Audi AG,Berlin,Battery ECU,431,4,Shipped
PO-10127,2024-05-07,CUST-104,Audi AG,Bremen,ABS ECU,285,4,Completed
PO-10128,2024-05-08,CUST-100,BMW Group,Regensburg,Transmission ECU,389,4,Completed
PO-10129,2024-05-09,CUST-102,Mercedes-Benz AG,Ingolstadt,ABS ECU,277,2,Completed
PO-10130,2024-05-10,CUST-101,Volkswagen Group,Regensburg,Body ECU,58,2,Completed
PO-10131,2024-05-11,CUST-100,BMW Group,Ingolstadt,Engine ECU,215,3,Completed
PO-10132,2024-05-12,CUST-100,BMW Group,Regensburg,Battery ECU,481,2,Completed
PO-10133,2024-05-13,CUST-101,Volkswagen Group,Hanover,ABS ECU,493,5,Completed
PO-10134,2024-05-14,CUST-106,Ford-Werke GmbH,Wolfsburg,Engine ECU,368,5,Completed
PO-10135,2024-05-15,CUST-101,Volkswagen Group,Wolfsburg,Transmission ECU,263,1,Completed
PO-10136,2024-05-16,CUST-102,Mercedes-Benz AG,Berlin,Engine ECU,166,2,Completed
PO-10137,2024-05-17,CUST-103,Porsche AG,Stuttgart,Battery ECU,435,1,Completed
PO-10138,2024-05-18,CUST-101,Volkswagen Group,Nuremberg,ABS ECU,393,2,Completed
PO-10139,2024-05-19,CUST-107,MAN Truck & Bus,Wolfsburg,Body ECU,121,4,Shipped
PO-10140,2024-05-20,CUST-106,Ford-Werke GmbH,Wolfsburg,Transmission ECU,444,2,Completed
PO-10141,2024-05-21,CUST-101,Volkswagen Group,Leipzig,ABS ECU,113,4,Completed
PO-10142,2024-05-22,CUST-101,Volkswagen Group,Leipzig,Battery ECU,254,1,Completed
PO-10143,2024-05-23,CUST-101,Volkswagen Group,Stuttgart,Transmission ECU,258,3,Completed
PO-10144,2024-05-24,CUST-101,Volkswagen Group,Nuremberg,ADAS ECU,121,2,Completed
PO-10145,2024-05-25,CUST-100,BMW Group,Bremen,Engine ECU,326,3,Completed
PO-10146,2024-05-26,CUST-102,Mercedes-Benz AG,Leipzig,Battery ECU,323,3,Completed
PO-10147,2024-05-27,CUST-102,Mercedes-Benz AG,Bremen,ADAS ECU,369,1,Completed
PO-10148,2024-05-28,CUST-100,BMW Group,Munich,ABS ECU,387,3,Completed
PO-10149,2024-05-29,CUST-101,Volkswagen Group,Leipzig,Body ECU,415,1,Completed
PO-10150,2024-05-30,CUST-105,Opel Automobile GmbH,Hanover,Transmission ECU,144,3,Completed
PO-10151,2024-05-31,CUST-100,BMW Group,Nuremberg,Engine ECU,215,4,Completed
PO-10152,2024-06-01,CUST-100,BMW Group,Stuttgart,Transmission ECU,81,2,Processing
PO-10153,2024-06-02,CUST-101,Volkswagen Group,Munich,ABS ECU,60,3,Shipped
PO-10154,2024-06-03,CUST-107,MAN Truck & Bus,Nuremberg,Transmission ECU,350,3,Shipped
PO-10155,2024-06-04,CUST-100,BMW Group,Berlin,Engine ECU,266,3,Shipped
PO-10156,2024-06-05,CUST-102,Mercedes-Benz AG,Hanover,ABS ECU,338,3,Shipped
PO-10157,2024-06-06,CUST-103,Porsche AG,Nuremberg,Transmission ECU,151,1,Completed
PO-10158,2024-06-07,CUST-100,BMW Group,Hanover,Body ECU,474,0,Completed
PO-10159,2024-06-08,CUST-103,Porsche AG,Hanover,Battery ECU,441,4,Completed
PO-10160,2024-06-09,CUST-101,Volkswagen Group,Bremen,ABS ECU,316,1,Completed
PO-10161,2024-06-10,CUST-102,Mercedes-Benz AG,Regensburg,Battery ECU,263,2,Completed
PO-10162,2024-06-11,CUST-102,Mercedes-Benz AG,Berlin,ABS ECU,228,1,Completed
PO-10163,2024-06-12,CUST-102,Mercedes-Benz AG,Munich,Body ECU,137,5,Completed
PO-10164,2024-06-13,CUST-100,BMW Group,Nuremberg,Battery ECU,90,1,Completed
PO-10165,2024-06-14,CUST-104,Audi AG,Ingolstadt,ADAS ECU,450,2,Shipped
PO-10166,2024-06-15,CUST-101,Volkswagen Group,Munich,Engine ECU,125,2,Completed
PO-10167,2024-06-16,CUST-100,BMW Group,Regensburg,ADAS ECU,426,1,Completed
PO-10168,2024-06-17,CUST-100,BMW Group,Munich,Transmission ECU,95,0,Completed
PO-10169,2024-06-18,CUST-102,Mercedes-Benz AG,Wolfsburg,Body ECU,209,0,Completed
PO-10170,2024-06-19,CUST-102,Mercedes-Benz AG,Ingolstadt,ADAS ECU,129,2,Shipped
PO-10171,2024-06-20,CUST-100,BMW Group,Regensburg,ABS ECU,359,2,Completed
PO-10172,2024-06-21,CUST-102,Mercedes-Benz AG,Bremen,Transmission ECU,135,3,Completed
PO-10173,2024-06-22,CUST-100,BMW Group,Nuremberg,Transmission ECU,141,3,Completed
PO-10174,2024-06-23,CUST-102,Mercedes-Benz AG,Dresden,ADAS ECU,197,0,Completed
PO-10175,2024-06-24,CUST-100,BMW Group,Regensburg,ADAS ECU,210,3,Completed
PO-10176,2024-06-25,CUST-103,Porsche AG,Stuttgart,Body ECU,251,1,Completed
PO-10177,2024-06-26,CUST-101,Volkswagen Group,Nuremberg,Engine ECU,473,1,Completed
PO-10178,2024-06-27,CUST-105,Opel Automobile GmbH,Berlin,ADAS ECU,465,3,Completed
PO-10179,2024-06-28,CUST-100,BMW Group,Regensburg,ADAS ECU,291,0,Completed
PO-10180,2024-06-29,CUST-101,Volkswagen Group,Wolfsburg,Battery ECU,402,1,Shipped
PO-10181,2024-06-30,CUST-100,BMW Group,Dresden,ABS ECU,51,2,Completed
PO-10182,2024-07-01,CUST-105,Opel Automobile GmbH,Wolfsburg,Battery ECU,274,2,Shipped
PO-10183,2024-07-02,CUST-104,Audi AG,Dresden,Battery ECU,338,1,Completed
PO-10184,2024-07-03,CUST-101,Volkswagen Group,Berlin,Transmission ECU,282,1,Completed
PO-10185,2024-07-04,CUST-102,Mercedes-Benz AG,Stuttgart,Engine ECU,463,0,Completed
PO-10186,2024-07-05,CUST-104,Audi AG,Nuremberg,ABS ECU,466,1,Completed
PO-10187,2024-07-06,CUST-102,Mercedes-Benz AG,Bremen,Body ECU,126,2,Completed
PO-10188,2024-07-07,CUST-102,Mercedes-Benz AG,Wolfsburg,Body ECU,165,1,Completed
PO-10189,2024-07-08,CUST-100,BMW Group,Wolfsburg,ADAS ECU,203,4,Completed
PO-10190,2024-07-09,CUST-100,BMW Group,Hanover,ADAS ECU,455,1,Shipped
PO-10191,2024-07-10,CUST-104,Audi AG,Dresden,Body ECU,152,3,Completed
PO-10192,2024-07-11,CUST-105,Opel Automobile GmbH,Leipzig,ADAS ECU,243,1,Completed
PO-10193,2024-07-12,CUST-102,Mercedes-Benz AG,Nuremberg,Engine ECU,215,3,Completed
PO-10194,2024-07-13,CUST-101,Volkswagen Group,Dresden,Battery ECU,408,0,Completed
PO-10195,2024-07-14,CUST-101,Volkswagen Group,Hanover,ADAS ECU,139,1,Completed
PO-10196,2024-07-15,CUST-103,Porsche AG,Munich,Transmission ECU,223,2,Completed
PO-10197,2024-07-16,CUST-104,Audi AG,Dresden,ADAS ECU,171,1,Completed
PO-10198,2024-07-17,CUST-104,Audi AG,Bremen,ABS ECU,192,2,Completed
PO-10199,2024-07-18,CUST-103,Porsche AG,Nuremberg,Engine ECU,155,2,Completed
PO-10200,2024-07-19,CUST-102,Mercedes-Benz AG,Hanover,ABS ECU,424,2,Completed
PO-10201,2024-07-20,CUST-100,BMW Group,Munich,ABS ECU,477,4,Shipped
PO-10202,2024-07-21,CUST-100,BMW Group,Ingolstadt,Transmission ECU,354,2,Shipped
PO-10203,2024-07-22,CUST-104,Audi AG,Hanover,Engine ECU,409,3,Completed
PO-10204,2024-07-23,CUST-102,Mercedes-Benz AG,Ingolstadt,Engine ECU,366,2,Completed
PO-10205,2024-07-24,CUST-100,BMW Group,Nuremberg,Engine ECU,172,1,Completed
PO-10206,2024-07-25,CUST-100,BMW Group,Wolfsburg,Engine ECU,439,2,Completed
PO-10207,2024-07-26,CUST-102,Mercedes-Benz AG,Hanover,Engine ECU,58,4,Completed
PO-10208,2024-07-27,CUST-100,BMW Group,Stuttgart,Transmission ECU,311,2,Completed
PO-10209,2024-07-28,CUST-100,BMW Group,Ingolstadt,ADAS ECU,122,0,Completed
PO-10210,2024-07-29,CUST-102,Mercedes-Benz AG,Bremen,ABS ECU,408,3,Completed
PO-10211,2024-07-30,CUST-103,Porsche AG,Stuttgart,Engine ECU,272,0,Completed
PO-10212,2024-07-31,CUST-102,Mercedes-Benz AG,Regensburg,ADAS ECU,465,5,Shipped
PO-10213,2024-08-01,CUST-100,BMW Group,Regensburg,ADAS ECU,90,2,Completed
PO-10214,2024-08-02,CUST-103,Porsche AG,Munich,ABS ECU,419,3,Completed
PO-10215,2024-08-03,CUST-100,BMW Group,Wolfsburg,Transmission ECU,253,2,Shipped
PO-10216,2024-08-04,CUST-101,Volkswagen Group,Nuremberg,Body ECU,313,5,Processing
PO-10217,2024-08-05,CUST-103,Porsche AG,Hanover,Body ECU,377,2,Completed
PO-10218,2024-08-06,CUST-102,Mercedes-Benz AG,Leipzig,ADAS ECU,227,2,Completed
PO-10219,2024-08-07,CUST-104,Audi AG,Bremen,Battery ECU,397,1,Completed
PO-10220,2024-08-08,CUST-102,Mercedes-Benz AG,Ingolstadt,Battery ECU,367,1,Shipped
PO-10221,2024-08-09,CUST-102,Mercedes-Benz AG,Nuremberg,ABS ECU,133,6,Shipped
PO-10222,2024-08-10,CUST-100,BMW Group,Stuttgart,Body ECU,367,1,Completed
PO-10223,2024-08-11,CUST-101,Volkswagen Group,Berlin,ADAS ECU,160,2,Completed
PO-10224,2024-08-12,CUST-101,Volkswagen Group,Regensburg,Transmission ECU,300,0,Completed
PO-10225,2024-08-13,CUST-100,BMW Group,Berlin,Body ECU,432,4,Completed
PO-10226,2024-08-14,CUST-107,MAN Truck & Bus,Bremen,ADAS ECU,56,2,Completed
PO-10227,2024-08-15,CUST-101,Volkswagen Group,Leipzig,ADAS ECU,133,3,Shipped
PO-10228,2024-08-16,CUST-104,Audi AG,Hanover,Engine ECU,257,3,Completed
PO-10229,2024-08-17,CUST-102,Mercedes-Benz AG,Munich,Transmission ECU,437,3,Shipped
PO-10230,2024-08-18,CUST-103,Porsche AG,Leipzig,Engine ECU,439,2,Shipped
PO-10231,2024-08-19,CUST-102,Mercedes-Benz AG,Bremen,ABS ECU,363,1,Completed
PO-10232,2024-08-20,CUST-102,Mercedes-Benz AG,Leipzig,Engine ECU,71,2,Completed
PO-10233,2024-08-21,CUST-101,Volkswagen Group,Bremen,Engine ECU,459,3,Completed
PO-10234,2024-08-22,CUST-100,BMW Group,Bremen,Body ECU,432,3,Completed
PO-10235,2024-08-23,CUST-103,Porsche AG,Dresden,Battery ECU,52,3,Completed
PO-10236,2024-08-24,CUST-101,Volkswagen Group,Ingolstadt,ADAS ECU,176,2,Completed
PO-10237,2024-08-25,CUST-100,BMW Group,Berlin,Transmission ECU,346,3,Completed
PO-10238,2024-08-26,CUST-102,Mercedes-Benz AG,Regensburg,Engine ECU,237,2,Completed
PO-10239,2024-08-27,CUST-100,BMW Group,Dresden,Transmission ECU,411,0,Completed
PO-10240,2024-08-28,CUST-106,Ford-Werke GmbH,Hanover,Battery ECU,63,4,Completed
PO-10241,2024-08-29,CUST-106,Ford-Werke GmbH,Dresden,Battery ECU,61,3,Completed
PO-10242,2024-08-30,CUST-105,Opel Automobile GmbH,Wolfsburg,Engine ECU,136,2,Completed
PO-10243,2024-08-31,CUST-101,Volkswagen Group,Wolfsburg,ABS ECU,61,3,Completed
PO-10244,2024-09-01,CUST-100,BMW Group,Regensburg,Engine ECU,446,2,Completed
PO-10245,2024-09-02,CUST-105,Opel Automobile GmbH,Leipzig,Body ECU,74,1,Completed
PO-10246,2024-09-03,CUST-101,Volkswagen Group,Ingolstadt,ADAS ECU,350,4,Completed
PO-10247,2024-09-04,CUST-106,Ford-Werke GmbH,Regensburg,ABS ECU,292,3,Completed
PO-10248,2024-09-05,CUST-106,Ford-Werke GmbH,Bremen,Engine ECU,171,4,Completed
PO-10249,2024-09-06,CUST-104,Audi AG,Stuttgart,Transmission ECU,196,1,Shipped
PO-10250,2024-09-07,CUST-101,Volkswagen Group,Ingolstadt,ABS ECU,104,2,Completed
PO-10251,2024-09-08,CUST-101,Volkswagen Group,Berlin,ABS ECU,287,1,Completed
PO-10252,2024-09-09,CUST-104,Audi AG,Ingolstadt,Engine ECU,405,2,Completed
PO-10253,2024-09-10,CUST-101,Volkswagen Group,Bremen,ABS ECU,222,1,Completed
PO-10254,2024-09-11,CUST-100,BMW Group,Bremen,Transmission ECU,441,1,Completed
PO-10255,2024-09-12,CUST-102,Mercedes-Benz AG,Munich,Battery ECU,270,5,Completed
PO-10256,2024-09-13,CUST-105,Opel Automobile GmbH,Regensburg,ABS ECU,168,0,Completed
PO-10257,2024-09-14,CUST-103,Porsche AG,Bremen,Battery ECU,358,2,Completed
PO-10258,2024-09-15,CUST-102,Mercedes-Benz AG,Wolfsburg,Transmission ECU,232,4,Completed
PO-10259,2024-09-16,CUST-100,BMW Group,Hanover,Engine ECU,337,2,Completed
PO-10260,2024-09-17,CUST-102,Mercedes-Benz AG,Stuttgart,ADAS ECU,356,0,Completed
PO-10261,2024-09-18,CUST-107,MAN Truck & Bus,Berlin,ABS ECU,349,5,Processing
PO-10262,2024-09-19,CUST-100,BMW Group,Regensburg,ADAS ECU,131,2,Completed
PO-10263,2024-09-20,CUST-102,Mercedes-Benz AG,Nuremberg,Transmission ECU,451,4,Completed
PO-10264,2024-09-21,CUST-104,Audi AG,Wolfsburg,ABS ECU,260,3,Completed
PO-10265,2024-09-22,CUST-103,Porsche AG,Leipzig,Battery ECU,199,1,Completed
PO-10266,2024-09-23,CUST-103,Porsche AG,Bremen,Body ECU,86,2,Completed
PO-10267,2024-09-24,CUST-103,Porsche AG,Nuremberg,ADAS ECU,401,5,Completed
PO-10268,2024-09-25,CUST-101,Volkswagen Group,Bremen,ABS ECU,361,1,Completed
PO-10269,2024-09-26,CUST-101,Volkswagen Group,Ingolstadt,ADAS ECU,410,1,Completed
PO-10270,2024-09-27,CUST-104,Audi AG,Wolfsburg,ABS ECU,108,1,Completed
PO-10271,2024-09-28,CUST-104,Audi AG,Ingolstadt,Engine ECU,180,3,Completed
PO-10272,2024-09-29,CUST-104,Audi AG,Munich,Battery ECU,461,2,Shipped
PO-10273,2024-09-30,CUST-105,Opel Automobile GmbH,Ingolstadt,ADAS ECU,251,1,Completed
PO-10274,2024-10-01,CUST-102,Mercedes-Benz AG,Munich,Body ECU,292,0,Completed
PO-10275,2024-10-02,CUST-102,Mercedes-Benz AG,Munich,Body ECU,84,1,Completed
PO-10276,2024-10-03,CUST-103,Porsche AG,Nuremberg,Transmission ECU,494,0,Completed
PO-10277,2024-10-04,CUST-102,Mercedes-Benz AG,Bremen,ABS ECU,142,3,Completed
PO-10278,2024-10-05,CUST-103,Porsche AG,Leipzig,ADAS ECU,487,2,Completed
PO-10279,2024-10-06,CUST-103,Porsche AG,Berlin,Transmission ECU,496,0,Completed
PO-10280,2024-10-07,CUST-104,Audi AG,Ingolstadt,ADAS ECU,256,1,Completed
PO-10281,2024-10-08,CUST-101,Volkswagen Group,Berlin,ABS ECU,402,3,Completed
PO-10282,2024-10-09,CUST-101,Volkswagen Group,Wolfsburg,Body ECU,440,2,Completed
PO-10283,2024-10-10,CUST-100,BMW Group,Munich,Engine ECU,381,1,Shipped
