Production_Date,Plant,Line,Shift,ECU_Serial_No,Product_Type,Operator_ID,Cycle_Time_Sec,Programming_Time_Sec,Voltage_Test_V,Current_Test_A,Functional_Test_Score,Downtime_Minutes,Defect_Type,Status,Rework_Required
2024-01-03 00:00:00,Stuttgart,ASSY-01,A,ECU100048,Engine ECU,OP048,84.01,37.06,12.04,1.88,87,0,Solder Defect,Fail,Yes
2024-01-03 01:00:00,Stuttgart,SMT-01,B,ECU100049,Engine ECU,OP064,87.41,30.57,11.57,1.48,93,0,None,Pass,No
2024-01-03 02:00:00,Stuttgart,EOL-01,B,ECU100050,ABS ECU,OP013,90.97,34.72,11.79,1.58,78,0,None,Pass,No
2024-01-03 03:00:00,Munich,EOL-01,B,ECU100051,Engine ECU,OP036,75.69,25.24,11.98,1.76,99,30,None,Pass,No
2024-01-03 04:00:00,Stuttgart,SMT-01,C,ECU100052,Engine ECU,OP079,78.73,32.66,12.19,1.75,73,0,None,Pass,No
2024-01-03 05:00:00,Munich,EOL-01,A,ECU100053,ADAS ECU,OP070,96.07,30.43,12.27,1.68,76,5,None,Pass,No
2024-01-03 06:00:00,Stuttgart,SMT-02,B,ECU100054,Body ECU,OP033,73.7,31.69,12.63,2.12,97,0,None,Pass,No
2024-01-03 07:00:00,Berlin,SMT-02,A,ECU100055,ABS ECU,OP076,75.3,24.62,12.04,1.96,97,5,None,Pass,No
2024-01-03 08:00:00,Berlin,SMT-02,A,ECU100056,ADAS ECU,OP057,75.72,23.8,11.84,1.42,92,5,None,Pass,No
2024-01-03 09:00:00,Munich,EOL-01,C,ECU100057,Engine ECU,OP055,82.6,27.76,12.19,1.96,76,0,None,Pass,No
2024-01-03 10:00:00,Berlin,SMT-02,A,ECU100058,ADAS ECU,OP013,96.98,24.53,11.75,1.65,82,0,None,Pass,No
2024-01-03 11:00:00,Berlin,SMT-02,B,ECU100059,Body ECU,OP097,91.29,26.2,12.09,1.78,88,0,Programming Error,Fail,Yes
2024-01-03 12:00:00,Stuttgart,SMT-01,B,ECU100060,ABS ECU,OP051,74.52,40.34,12.54,1.56,76,5,Sensor Failure,Fail,Yes
2024-01-03 13:00:00,Munich,SMT-01,A,ECU100061,ADAS ECU,OP092,106.76,34.93,11.92,1.98,90,0,None,Pass,No
2024-01-03 14:00:00,Stuttgart,ASSY-01,A,ECU100062,Engine ECU,OP053,76.65,31.39,11.84,1.83,97,0,None,Pass,No
2024-01-03 15:00:00,Stuttgart,ASSY-01,C,ECU100063,ADAS ECU,OP036,65.55,31.8,11.65,2.0,97,0,None,Pass,No
2024-01-03 16:00:00,Stuttgart,ASSY-01,B,ECU100064,Engine ECU,OP005,106.89,31.67,12.04,1.84,76,0,None,Pass,No
2024-01-03 17:00:00,Stuttgart,ASSY-01,B,ECU100065,ABS ECU,OP025,74.96,29.24,11.63,1.73,82,0,None,Pass,No
2024-01-03 18:00:00,Stuttgart,SMT-01,A,ECU100066,ABS ECU,OP081,83.67,31.29,11.72,1.68,73,0,None,Pass,No
2024-01-03 19:00:00,Stuttgart,SMT-01,A,ECU100067,ADAS ECU,OP037,83.39,33.79,11.66,1.55,81,0,None,Pass,No
2024-01-03 20:00:00,Stuttgart,SMT-01,A,ECU100068,ABS ECU,OP019,91.98,29.08,12.26,1.75,77,0,None,Pass,No
2024-01-03 21:00:00,Munich,SMT-02,B,ECU100069,Body ECU,OP035,62.96,35.78,11.96,1.83,85,0,Solder Defect,Fail,Yes
2024-01-03 22:00:00,Berlin,SMT-02,A,ECU100070,ADAS ECU,OP034,81.39,29.03,12.34,1.47,80,0,None,Pass,No
2024-01-03 23:00:00,Stuttgart,ASSY-01,C,ECU100071,Engine ECU,OP054,80.6,26.03,12.05,1.92,73,0,None,Pass,No
2024-01-04 00:00:00,Stuttgart,SMT-02,C,ECU100072,ADAS ECU,OP046,101.96,31.05,11.89,1.81,90,15,None,Pass,No
2024-01-04 01:00:00,Stuttgart,EOL-01,A,ECU100073,Engine ECU,OP006,78.48,29.23,12.15,1.75,98,5,None,Pass,No
2024-01-04 02:00:00,Stuttgart,SMT-01,C,ECU100074,ABS ECU,OP083,81.15,28.98,12.16,1.64,84,0,None,Pass,No
2024-01-04 03:00:00,Stuttgart,ASSY-01,C,ECU100075,Engine ECU,OP001,94.12,33.52,12.3,1.62,95,20,None,Pass,No
2024-01-04 04:00:00,Stuttgart,ASSY-01,C,ECU100076,Engine ECU,OP071,91.14,28.55,11.78,1.77,81,5,None,Pass,No
2024-01-04 05:00:00,Berlin,EOL-01,C,ECU100077,Engine ECU,OP034,76.31,26.27,12.0,1.78,92,0,None,Pass,No
2024-01-04 06:00:00,Berlin,SMT-02,C,ECU100078,Engine ECU,OP056,90.14,28.44,11.71,1.48,71,0,None,Pass,No
2024-01-04 07:00:00,Stuttgart,ASSY-01,B,ECU100079,Body ECU,OP083,76.15,27.04,12.06,2.14,92,10,None,Pass,No
2024-01-04 08:00:00,Berlin,SMT-02,A,ECU100080,Engine ECU,OP097,94.64,27.0,11.33,1.65,92,0,None,Pass,No
2024-01-04 09:00:00,Munich,SMT-02,C,ECU100081,ADAS ECU,OP026,83.08,33.91,11.75,1.98,75,0,None,Pass,No
2024-01-04 10:00:00,Stuttgart,EOL-01,A,ECU100082,Body ECU,OP042,69.92,25.91,11.81,1.73,98,15,None,Pass,No
2024-01-04 11:00:00,Munich,ASSY-01,C,ECU100083,Engine ECU,OP091,59.28,30.47,12.0,1.88,87,10,None,Pass,No
2024-01-04 12:00:00,Munich,SMT-02,B,ECU100084,Engine ECU,OP038,80.49,28.67,12.26,1.76,93,0,None,Pass,No
2024-01-04 13:00:00,Stuttgart,SMT-02,B,ECU100085,Engine ECU,OP026,75.6,29.56,11.56,1.73,91,0,None,Pass,No
2024-01-04 14:00:00,Berlin,EOL-01,C,ECU100086,Body ECU,OP099,82.12,21.85,12.21,1.82,81,0,None,Pass,No
2024-01-04 15:00:00,Munich,EOL-01,C,ECU100087,Engine ECU,OP059,84.41,32.58,12.08,1.72,85,0,None,Pass,No
2024-01-04 16:00:00,Stuttgart,SMT-02,C,ECU100088,Engine ECU,OP084,62.04,28.88,12.1,1.97,70,0,None,Pass,No
2024-01-04 17:00:00,Munich,EOL-01,B,ECU100089,Engine ECU,OP024,76.24,33.89,11.93,1.58,88,0,None,Pass,No
2024-01-04 18:00:00,Munich,SMT-02,B,ECU100090,ABS ECU,OP021,83.45,31.6,12.18,1.77,99,0,None,Pass,No
2024-01-04 19:00:00,Munich,ASSY-01,A,ECU100091,ADAS ECU,OP060,86.2,30.19,11.95,1.68,73,0,None,Pass,No
2024-01-04 20:00:00,Munich,SMT-01,B,ECU100092,Engine ECU,OP090,94.58,30.03,11.78,1.9,79,10,None,Pass,No
2024-01-04 21:00:00,Berlin,EOL-01,C,ECU100093,ADAS ECU,OP020,96.65,38.96,11.95,1.47,79,5,None,Pass,No
2024-01-04 22:00:00,Munich,SMT-01,A,ECU100094,ABS ECU,OP006,82.14,26.79,12.03,1.97,93,0,None,Pass,No
2024-01-04 23:00:00,Munich,SMT-02,B,ECU100095,ABS ECU,OP067,83.23,31.17,11.74,1.64,76,0,Sensor Failure,Fail,Yes
2024-01-05 00:00:00,Munich,SMT-02,B,ECU100096,Engine ECU,OP010,79.23,30.96,11.39,1.88,75,0,None,Pass,No
2024-01-05 01:00:00,Berlin,SMT-02,C,ECU100097,ADAS ECU,OP012,92.87,23.55,12.17,1.47,100,0,None,Pass,No
2024-01-05 02:00:00,Munich,SMT-01,A,ECU100098,Body ECU,OP097,80.39,29.76,11.81,1.71,95,0,None,Pass,No
2024-01-05 03:00:00,Munich,SMT-02,B,ECU100099,Engine ECU,OP022,73.4,23.77,11.36,1.72,91,30,None,Pass,No
2024-01-05 04:00:00,Berlin,EOL-01,B,ECU100100,Body ECU,OP062,65.05,29.73,12.03,1.81,98,0,None,Pass,No
2024-01-05 05:00:00,Berlin,ASSY-01,C,ECU100101,ABS ECU,OP061,73.63,23.51,11.96,1.87,81,0,None,Pass,No
2024-01-05 06:00:00,Berlin,ASSY-01,A,ECU100102,ABS ECU,OP080,81.81,31.53,11.66,2.12,79,0,None,Pass,No
2024-01-05 07:00:00,Munich,EOL-01,A,ECU100103,ADAS ECU,OP017,96.75,24.96,11.84,1.71,94,0,None,Pass,No
2024-01-05 08:00:00,Berlin,ASSY-01,A,ECU100104,Body ECU,OP010,85.55,29.95,12.24,1.89,81,0,None,Pass,No
2024-01-05 09:00:00,Berlin,SMT-01,A,ECU100105,Body ECU,OP012,86.37,23.5,11.61,1.72,82,10,None,Pass,No
2024-01-05 10:00:00,Munich,SMT-02,C,ECU100106,Engine ECU,OP083,85.04,31.9,11.86,1.84,84,0,None,Pass,No
2024-01-05 11:00:00,Berlin,SMT-02,B,ECU100107,ADAS ECU,OP040,100.36,29.69,12.11,1.56,97,0,None,Pass,No
2024-01-05 12:00:00,Munich,SMT-02,B,ECU100108,ADAS ECU,OP023,91.09,29.26,11.62,1.83,99,30,None,Pass,No
2024-01-05 13:00:00,Stuttgart,SMT-01,A,ECU100109,Body ECU,OP040,84.82,30.56,12.46,1.65,99,15,None,Pass,No
2024-01-05 14:00:00,Berlin,SMT-01,A,ECU100110,ABS ECU,OP074,77.82,32.1,12.22,1.53,90,0,None,Pass,No
2024-01-05 15:00:00,Stuttgart,SMT-01,A,ECU100111,ADAS ECU,OP074,69.87,26.56,12.43,1.78,82,0,None,Pass,No
2024-01-05 16:00:00,Munich,EOL-01,B,ECU100112,ABS ECU,OP050,104.83,29.93,11.99,1.81,88,0,None,Pass,No
2024-01-05 17:00:00,Berlin,SMT-01,B,ECU100113,Engine ECU,OP010,94.64,28.13,12.38,1.75,85,0,Communication Failure,Fail,Yes
2024-01-05 18:00:00,Munich,ASSY-01,A,ECU100114,ADAS ECU,OP094,82.68,35.21,12.03,1.86,80,0,None,Pass,No
2024-01-05 19:00:00,Stuttgart,EOL-01,C,ECU100115,ADAS ECU,OP004,106.53,28.37,11.93,2.06,70,5,None,Pass,No
2024-01-05 20:00:00,Munich,EOL-01,B,ECU100116,Engine ECU,OP001,84.91,26.78,11.72,1.65,87,0,None,Pass,No
2024-01-05 21:00:00,Berlin,EOL-01,B,ECU100117,ADAS ECU,OP043,75.2,23.98,12.07,1.92,76,0,None,Pass,No
2024-01-05 22:00:00,Berlin,SMT-01,A,ECU100118,Body ECU,OP083,99.66,28.93,11.83,1.69,81,0,None,Pass,No
2024-01-05 23:00:00,Stuttgart,EOL-01,C,ECU100119,Body ECU,OP005,69.63,27.24,11.82,1.85,87,0,Solder Defect,Fail,Yes
2024-01-06 00:00:00,Munich,SMT-01,A,ECU100120,Engine ECU,OP094,80.19,31.45,12.03,1.78,81,0,None,Pass,No
2024-01-06 01:00:00,Berlin,SMT-01,A,ECU100121,ABS ECU,OP090,70.59,30.89,12.44,2.03,78,15,None,Pass,No
2024-01-06 02:00:00,Stuttgart,EOL-01,C,ECU100122,ABS ECU,OP034,75.41,32.12,12.33,1.79,86,0,None,Pass,No
2024-01-06 03:00:00,Berlin,SMT-02,C,ECU100123,ADAS ECU,OP066,87.4,24.96,12.2,1.8,73,0,None,Pass,No
2024-01-06 04:00:00,Berlin,SMT-02,C,ECU100124,ABS ECU,OP024,89.05,19.07,11.99,1.95,93,0,None,Pass,No
2024-01-06 05:00:00,Munich,EOL-01,B,ECU100125,ABS ECU,OP014,71.77,30.0,12.02,1.87,98,0,None,Pass,No
2024-01-06 06:00:00,Berlin,SMT-02,A,ECU100126,Engine ECU,OP041,106.71,33.29,12.37,1.89,96,5,None,Pass,No
2024-01-06 07:00:00,Munich,ASSY-01,B,ECU100127,ABS ECU,OP042,59.93,28.43,12.13,1.99,100,0,None,Pass,No
2024-01-06 08:00:00,Berlin,ASSY-01,C,ECU100128,ABS ECU,OP013,86.55,37.14,11.33,1.83,97,0,None,Pass,No
2024-01-06 09:00:00,Stuttgart,SMT-01,B,ECU100129,ABS ECU,OP029,86.86,29.51,12.61,2.03,93,0,None,Pass,No
2024-01-06 10:00:00,Berlin,SMT-02,C,ECU100130,Body ECU,OP065,88.16,27.06,11.99,1.58,98,0,None,Pass,No
2024-01-06 11:00:00,Munich,ASSY-01,C,ECU100131,Body ECU,OP046,95.55,31.67,12.01,1.77,73,0,None,Pass,No
2024-01-06 12:00:00,Munich,EOL-01,A,ECU100132,Engine ECU,OP034,48.41,35.52,12.05,1.79,97,0,None,Pass,No
2024-01-06 13:00:00,Stuttgart,SMT-02,A,ECU100133,ADAS ECU,OP063,75.71,29.83,12.02,1.68,99,0,None,Pass,No
2024-01-06 14:00:00,Berlin,ASSY-01,A,ECU100134,Engine ECU,OP004,86.82,33.01,11.95,1.9,97,0,None,Pass,No
2024-01-06 15:00:00,Berlin,ASSY-01,B,ECU100135,ADAS ECU,OP028,105.44,28.31,11.63,1.84,89,0,None,Pass,No
2024-01-06 16:00:00,Stuttgart,EOL-01,A,ECU100136,ADAS ECU,OP083,78.02,28.4,11.68,1.48,89,0,None,Pass,No
2024-01-06 17:00:00,Berlin,SMT-01,C,ECU100137,ABS ECU,OP001,82.69,34.47,12.43,1.98,100,5,None,Pass,No
2024-01-06 18:00:00,Berlin,EOL-01,A,ECU100138,ABS ECU,OP036,93.71,22.91,11.82,1.95,98,0,None,Pass,No
2024-01-06 19:00:00,Munich,SMT-01,B,ECU100139,Engine ECU,OP013,70.49,25.8,12.28,1.83,70,0,None,Pass,No
2024-01-06 20:00:00,Berlin,ASSY-01,A,ECU100140,Engine ECU,OP005,85.27,32.32,12.07,1.85,99,0,None,Pass,No
2024-01-06 21:00:00,Berlin,SMT-01,A,ECU100141,Engine ECU,OP097,83.74,28.63,11.42,1.62,72,0,None,Pass,No
2024-01-06 22:00:00,Stuttgart,ASSY-01,A,ECU100142,Body ECU,OP014,77.69,31.19,11.68,1.66,88,0,None,Pass,No
2024-01-06 23:00:00,Stuttgart,ASSY-01,B,ECU100143,Body ECU,OP080,91.04,32.13,11.8,1.38,90,10,None,Pass,No
2024-01-07 00:00:00,Munich,SMT-02,C,ECU100144,Body ECU,OP032,110.88,24.73,12.18,1.69,77,0,None,Pass,No
2024-01-07 01:00:00,Berlin,SMT-01,C,ECU100145,Body ECU,OP050,87.08,24.69,11.94,1.78,90,0,None,Pass,No
2024-01-07 02:00:00,Berlin,SMT-01,C,ECU100146,Body ECU,OP027,58.18,34.61,12.18,1.88,89,0,None,Pass,No
2024-01-07 03:00:00,Berlin,SMT-01,A,ECU100147,ABS ECU,OP035,74.55,28.46,11.93,1.61,92,5,None,Pass,No
2024-01-07 04:00:00,Munich,EOL-01,A,ECU100148,ADAS ECU,OP003,102.75,27.3,12.16,1.94,70,0,Solder Defect,Fail,Yes
2024-01-07 05:00:00,Munich,SMT-02,B,ECU100149,Body ECU,OP004,82.13,31.48,11.73,1.81,75,0,None,Pass,No
2024-01-07 06:00:00,Stuttgart,SMT-02,C,ECU100150,Engine ECU,OP007,70.92,33.92,11.88,1.95,78,0,None,Pass,No
2024-01-07 07:00:00,Munich,SMT-02,A,ECU100151,ADAS ECU,OP077,94.05,33.11,12.08,1.93,87,10,Solder Defect,Fail,Yes
2024-01-07 08:00:00,Berlin,EOL-01,A,ECU100152,Body ECU,OP003,77.34,31.85,11.93,1.82,100,0,None,Pass,No
2024-01-07 09:00:00,Berlin,SMT-01,A,ECU100153,Body ECU,OP081,85.42,34.63,12.01,1.86,78,10,None,Pass,No
2024-01-07 10:00:00,Munich,SMT-01,B,ECU100154,ABS ECU,OP059,71.42,32.04,12.01,1.7,92,0,None,Pass,No
2024-01-07 11:00:00,Berlin,SMT-01,C,ECU100155,ABS ECU,OP074,79.98,27.78,12.2,1.79,92,0,Sensor Failure,Fail,Yes
2024-01-07 12:00:00,Berlin,SMT-02,B,ECU100156,ABS ECU,OP001,84.64,31.05,12.01,1.83,89,0,None,Pass,No
2024-01-07 13:00:00,Munich,SMT-02,C,ECU100157,Body ECU,OP028,83.79,33.13,11.97,1.93,79,30,None,Pass,No
2024-01-07 14:00:00,Munich,ASSY-01,C,ECU100158,ABS ECU,OP059,89.5,26.76,12.08,1.81,85,0,Solder Defect,Fail,Yes
2024-01-07 15:00:00,Berlin,EOL-01,A,ECU100159,Body ECU,OP053,87.41,27.73,12.13,2.1,90,0,None,Pass,No
2024-01-07 16:00:00,Berlin,EOL-01,A,ECU100160,ADAS ECU,OP010,72.78,30.79,12.03,1.81,100,0,None,Pass,No
2024-01-07 17:00:00,Berlin,SMT-02,A,ECU100161,ADAS ECU,OP071,105.23,32.75,11.73,1.43,81,0,None,Pass,No
2024-01-07 18:00:00,Stuttgart,ASSY-01,A,ECU100162,Body ECU,OP003,83.12,29.91,12.21,1.73,75,0,None,Pass,No
2024-01-07 19:00:00,Stuttgart,SMT-01,A,ECU100163,Engine ECU,OP007,68.79,31.03,12.16,1.66,83,0,None,Pass,No
2024-01-07 20:00:00,Stuttgart,SMT-02,C,ECU100164,Body ECU,OP009,58.33,20.05,11.92,1.75,91,30,None,Pass,No
2024-01-07 21:00:00,Munich,EOL-01,A,ECU100165,ADAS ECU,OP099,85.9,36.4,12.13,1.63,100,0,None,Pass,No
2024-01-07 22:00:00,Stuttgart,EOL-01,A,ECU100166,ADAS ECU,OP090,73.88,33.1,12.48,1.54,77,0,None,Pass,No
2024-01-07 23:00:00,Munich,EOL-01,B,ECU100167,Body ECU,OP069,91.87,32.91,11.93,1.68,84,0,None,Pass,No
2024-01-08 00:00:00,Munich,SMT-01,B,ECU100168,Body ECU,OP013,85.58,32.57,11.99,1.86,79,0,None,Pass,No
2024-01-08 01:00:00,Stuttgart,EOL-01,C,ECU100169,Body ECU,OP094,132.26,32.92,12.07,1.88,97,0,None,Pass,No
2024-01-08 02:00:00,Stuttgart,SMT-01,C,ECU100170,ADAS ECU,OP040,69.87,35.56,12.73,1.68,74,0,None,Pass,No
2024-01-08 03:00:00,Stuttgart,SMT-01,B,ECU100171,Engine ECU,OP062,97.69,34.48,12.05,1.91,95,0,None,Pass,No
2024-01-08 04:00:00,Berlin,SMT-01,B,ECU100172,Body ECU,OP062,71.92,31.71,11.84,1.71,89,0,None,Pass,No
2024-01-08 05:00:00,Stuttgart,SMT-02,A,ECU100173,ADAS ECU,OP010,94.97,33.22,11.68,1.69,96,5,None,Pass,No
2024-01-08 06:00:00,Berlin,SMT-01,A,ECU100174,Body ECU,OP087,102.08,31.11,11.91,1.73,98,0,None,Pass,No
2024-01-08 07:00:00,Munich,ASSY-01,C,ECU100175,ADAS ECU,OP011,80.87,26.96,11.99,1.44,85,0,None,Pass,No
2024-01-08 08:00:00,Berlin,EOL-01,B,ECU100176,Body ECU,OP076,76.25,27.97,12.15,1.76,93,10,None,Pass,No
2024-01-08 09:00:00,Stuttgart,SMT-02,C,ECU100177,ADAS ECU,OP062,83.12,28.32,12.0,1.56,95,0,None,Pass,No
2024-01-08 10:00:00,Munich,EOL-01,A,ECU100178,Body ECU,OP077,76.08,29.32,12.01,1.71,77,0,None,Pass,No
2024-01-08 11:00:00,Munich,SMT-01,C,ECU100179,ABS ECU,OP056,104.33,29.05,12.05,1.68,80,0,None,Pass,No
2024-01-08 12:00:00,Munich,SMT-02,C,ECU100180,Body ECU,OP049,82.63,25.38,12.04,1.93,72,5,None,Pass,No
2024-01-08 13:00:00,Berlin,ASSY-01,C,ECU100181,ADAS ECU,OP016,90.27,30.84,12.31,1.66,71,0,None,Pass,No
2024-01-08 14:00:00,Stuttgart,SMT-01,A,ECU100182,Body ECU,OP073,90.63,32.95,11.76,2.13,70,5,None,Pass,No
2024-01-08 15:00:00,Munich,EOL-01,C,ECU100183,Engine ECU,OP074,95.71,28.14,12.47,1.68,70,0,None,Pass,No
2024-01-08 16:00:00,Munich,ASSY-01,A,ECU100184,Body ECU,OP093,79.58,28.7,12.34,1.72,89,15,Solder Defect,Fail,Yes
2024-01-08 17:00:00,Munich,SMT-01,B,ECU100185,Body ECU,OP009,94.21,33.02,12.25,1.83,79,0,None,Pass,No
2024-01-08 18:00:00,Berlin,ASSY-01,C,ECU100186,Body ECU,OP033,100.62,30.76,11.79,1.7,100,0,None,Pass,No
2024-01-08 19:00:00,Berlin,SMT-01,C,ECU100187,Engine ECU,OP088,83.13,33.53,11.96,1.94,87,15,None,Pass,No
2024-01-08 20:00:00,Stuttgart,SMT-02,A,ECU100188,Engine ECU,OP035,69.0,32.94,11.82,1.48,85,0,None,Pass,No
2024-01-08 21:00:00,Berlin,SMT-01,C,ECU100189,Engine ECU,OP075,101.42,26.84,11.79,1.82,88,0,None,Pass,No
2024-01-08 22:00:00,Munich,SMT-02,A,ECU100190,ABS ECU,OP039,87.08,30.91,11.93,1.69,85,0,None,Pass,No
