Production_Date,Plant,Line,Shift,ECU_Serial_No,Product_Type,Supplier,Operator_ID,Cycle_Time_Sec,Programming_Time_Sec,Voltage_Test_V,Current_Test_A,Functional_Test_Score,Temperature_C,Humidity_Percent,Downtime_Minutes,Defect_Type,Status,Rework_Required,Production_Cost_EUR,Selling_Price_EUR
2023-01-04 15:00:00,Bremen,ASSY-02,A,ECU100087,Battery ECU,Valeo,OP0145,78.26,30.93,12.23,1.53,66,16.9,59,15,None,Pass,No,112.12,153.71
2023-01-04 16:00:00,Hanover,EOL-02,A,ECU100088,Transmission ECU,Continental,OP0259,83.97,40.99,11.88,1.74,98,21.1,68,0,None,Pass,No,124.88,184.21
2023-01-04 17:00:00,Ingolstadt,ASSY-02,A,ECU100089,Engine ECU,ZF,OP0159,75.5,45.22,12.22,1.94,86,14.2,58,20,None,Pass,No,92.84,126.31
2023-01-04 18:00:00,Munich,ASSY-01,B,ECU100090,ADAS ECU,Continental,OP0217,105.51,27.87,11.92,1.69,76,28.9,42,0,Communication Failure,Fail,Yes,97.59,162.49
2023-01-04 19:00:00,Dresden,ASSY-01,C,ECU100091,Engine ECU,Continental,OP0017,114.89,35.97,12.3,1.63,81,23.4,56,0,None,Pass,No,165.47,296.42
2023-01-04 20:00:00,Dresden,SMT-02,A,ECU100092,Transmission ECU,Continental,OP0081,95.44,42.74,12.59,1.93,82,25.3,32,0,None,Pass,No,82.53,130.33
2023-01-04 21:00:00,Leipzig,SMT-02,C,ECU100093,ABS ECU,Valeo,OP0184,82.14,30.9,11.77,2.14,85,22.0,55,0,None,Pass,No,92.13,147.08
2023-01-04 22:00:00,Dresden,ASSY-02,C,ECU100094,Transmission ECU,Hella,OP0283,83.31,30.36,11.69,1.91,86,32.9,57,0,None,Pass,No,94.91,122.86
2023-01-04 23:00:00,Ingolstadt,EOL-01,B,ECU100095,Battery ECU,Bosch,OP0071,95.32,38.1,11.65,1.48,85,27.5,73,20,None,Pass,No,94.1,131.81
2023-01-05 00:00:00,Leipzig,EOL-01,C,ECU100096,Battery ECU,Bosch,OP0090,98.38,25.4,11.55,1.78,99,22.1,39,5,None,Pass,No,136.13,195.95
2023-01-05 01:00:00,Ingolstadt,SMT-02,A,ECU100097,Transmission ECU,ZF,OP0197,92.18,22.74,11.8,2.0,89,22.3,74,15,None,Pass,No,82.06,120.19
2023-01-05 02:00:00,Munich,SMT-03,A,ECU100098,Engine ECU,ZF,OP0130,79.2,16.36,11.84,1.59,100,20.9,48,20,None,Pass,No,112.87,187.99
2023-01-05 03:00:00,Munich,SMT-01,C,ECU100099,Engine ECU,Valeo,OP0080,107.58,39.12,12.04,2.06,77,23.3,45,0,None,Pass,No,118.93,200.61
2023-01-05 04:00:00,Munich,ASSY-02,B,ECU100100,Body ECU,Bosch,OP0203,91.89,43.21,11.86,1.94,83,25.9,71,0,None,Pass,No,115.81,186.12
2023-01-05 05:00:00,Bremen,SMT-01,A,ECU100101,ADAS ECU,Hella,OP0231,96.92,35.04,11.82,1.88,79,25.7,58,30,None,Pass,No,124.25,193.14
2023-01-05 06:00:00,Wolfsburg,SMT-02,B,ECU100102,Engine ECU,Valeo,OP0087,58.43,41.07,12.05,1.4,74,22.7,62,15,PCB Damage,Fail,Yes,83.45,141.62
2023-01-05 07:00:00,Ingolstadt,ASSY-01,C,ECU100103,ABS ECU,ZF,OP0227,86.73,22.11,11.93,2.03,71,31.3,55,0,None,Pass,No,166.09,241.56
2023-01-05 08:00:00,Hanover,EOL-02,B,ECU100104,Battery ECU,Valeo,OP0006,100.66,38.58,12.35,1.81,88,14.0,50,0,None,Pass,No,121.23,187.93
2023-01-05 09:00:00,Stuttgart,ASSY-02,A,ECU100105,Transmission ECU,ZF,OP0225,71.47,35.86,12.35,1.65,77,21.1,67,20,Programming Error,Fail,Yes,155.92,233.98
2023-01-05 10:00:00,Wolfsburg,SMT-02,B,ECU100106,Engine ECU,Bosch,OP0146,63.8,29.78,11.82,1.68,91,27.4,54,0,Solder Defect,Fail,Yes,145.05,232.1
2023-01-05 11:00:00,Dresden,SMT-03,C,ECU100107,ABS ECU,Valeo,OP0055,106.97,37.19,11.61,1.64,71,31.0,45,0,None,Pass,No,98.07,156.09
2023-01-05 12:00:00,Stuttgart,EOL-02,A,ECU100108,ADAS ECU,Continental,OP0067,91.89,45.76,11.91,1.88,70,25.0,68,15,None,Pass,No,102.58,137.61
2023-01-05 13:00:00,Munich,ASSY-02,A,ECU100109,Transmission ECU,Infineon,OP0185,93.01,40.48,11.91,1.82,80,31.5,31,0,Sensor Failure,Fail,Yes,79.75,97.26
2023-01-05 14:00:00,Stuttgart,ASSY-02,B,ECU100110,ADAS ECU,ZF,OP0147,96.03,31.35,12.62,1.71,69,32.6,71,0,None,Pass,No,134.52,207.02
2023-01-05 15:00:00,Stuttgart,EOL-01,B,ECU100111,Battery ECU,Continental,OP0074,93.88,31.38,11.98,1.93,77,22.2,51,0,None,Pass,No,124.38,222.4
2023-01-05 16:00:00,Hanover,ASSY-01,A,ECU100112,Transmission ECU,ZF,OP0139,45.34,37.53,11.92,1.81,90,19.8,31,0,None,Pass,No,128.16,161.65
2023-01-05 17:00:00,Regensburg,ASSY-02,A,ECU100113,Battery ECU,Continental,OP0224,83.9,38.57,11.4,1.73,81,19.7,40,0,None,Pass,No,131.95,190.26
2023-01-05 18:00:00,Bremen,ASSY-01,A,ECU100114,Body ECU,Bosch,OP0232,87.85,30.23,12.2,1.34,75,16.9,46,60,None,Pass,No,61.77,87.48
2023-01-05 19:00:00,Hanover,SMT-02,A,ECU100115,Transmission ECU,Bosch,OP0183,92.42,45.71,11.93,2.19,78,17.9,70,0,None,Pass,No,157.23,218.04
2023-01-05 20:00:00,Regensburg,SMT-03,A,ECU100116,Transmission ECU,Hella,OP0096,90.4,34.66,12.27,2.3,86,19.3,57,0,None,Pass,No,110.63,181.86
2023-01-05 21:00:00,Stuttgart,EOL-02,B,ECU100117,ABS ECU,Hella,OP0248,83.55,41.83,12.44,1.67,95,18.2,33,0,None,Pass,No,132.06,235.34
2023-01-05 22:00:00,Hanover,EOL-02,B,ECU100118,Engine ECU,Hella,OP0132,103.22,32.97,11.72,1.57,99,29.1,56,0,None,Pass,No,101.77,166.85
2023-01-05 23:00:00,Leipzig,SMT-03,B,ECU100119,Transmission ECU,Valeo,OP0013,85.73,48.14,12.28,1.73,99,21.8,75,0,None,Pass,No,120.71,166.71
2023-01-06 00:00:00,Regensburg,ASSY-02,B,ECU100120,Engine ECU,ZF,OP0070,92.77,37.18,12.2,1.78,93,17.1,31,0,None,Pass,No,128.88,158.35
2023-01-06 01:00:00,Hanover,ASSY-02,A,ECU100121,ADAS ECU,Valeo,OP0256,113.93,23.97,11.86,1.79,93,22.1,72,30,None,Pass,No,70.96,110.66
2023-01-06 02:00:00,Wolfsburg,SMT-02,B,ECU100122,Transmission ECU,Hella,OP0188,68.42,29.85,11.68,1.93,92,25.3,65,0,None,Pass,No,97.76,126.39
2023-01-06 03:00:00,Munich,EOL-01,A,ECU100123,Transmission ECU,ZF,OP0089,56.0,37.81,11.69,1.65,84,22.7,67,0,None,Pass,No,164.87,264.36
2023-01-06 04:00:00,Stuttgart,EOL-01,A,ECU100124,Engine ECU,Valeo,OP0154,95.14,44.15,11.85,1.9,69,22.9,65,5,None,Pass,No,119.18,212.03
2023-01-06 05:00:00,Ingolstadt,EOL-01,A,ECU100125,ADAS ECU,Bosch,OP0150,98.81,36.02,12.02,1.62,92,14.9,34,0,None,Pass,No,68.28,114.1
2023-01-06 06:00:00,Regensburg,ASSY-01,C,ECU100126,ADAS ECU,ZF,OP0132,122.66,27.68,12.33,1.66,95,28.6,57,0,None,Pass,No,70.41,110.88
2023-01-06 07:00:00,Hanover,EOL-01,A,ECU100127,ABS ECU,Hella,OP0144,90.48,34.48,12.36,2.16,86,22.2,38,10,None,Pass,No,123.4,221.53
2023-01-06 08:00:00,Munich,SMT-03,C,ECU100128,Battery ECU,Bosch,OP0247,87.36,37.29,11.91,2.29,92,17.5,43,5,None,Pass,No,45.58,62.12
2023-01-06 09:00:00,Ingolstadt,EOL-02,A,ECU100129,Body ECU,ZF,OP0063,82.11,39.88,11.56,1.69,91,23.5,50,0,None,Pass,No,99.88,158.6
2023-01-06 10:00:00,Wolfsburg,EOL-02,B,ECU100130,Battery ECU,Valeo,OP0170,106.28,43.62,11.74,1.69,90,21.5,41,30,None,Pass,No,83.46,116.36
2023-01-06 11:00:00,Stuttgart,ASSY-01,C,ECU100131,Engine ECU,Infineon,OP0236,97.64,42.53,11.92,1.88,90,24.6,76,60,None,Pass,No,136.56,165.86
2023-01-06 12:00:00,Munich,SMT-02,A,ECU100132,ABS ECU,Infineon,OP0289,102.31,34.7,11.83,1.33,91,36.8,70,0,None,Pass,No,86.51,129.24
2023-01-06 13:00:00,Wolfsburg,SMT-03,A,ECU100133,Transmission ECU,Hella,OP0123,94.15,25.16,12.41,2.16,92,20.3,44,0,None,Pass,No,94.41,160.82
2023-01-06 14:00:00,Nuremberg,EOL-02,C,ECU100134,ADAS ECU,Valeo,OP0270,102.86,40.67,11.83,1.44,83,27.7,76,0,None,Pass,No,142.38,203.58
2023-01-06 15:00:00,Wolfsburg,SMT-03,B,ECU100135,ABS ECU,Bosch,OP0008,111.07,32.04,11.41,1.58,71,22.4,57,5,None,Pass,No,104.64,145.69
2023-01-06 16:00:00,Ingolstadt,EOL-02,A,ECU100136,Battery ECU,Bosch,OP0218,98.94,44.66,12.32,1.67,93,22.1,40,0,None,Pass,No,103.16,169.76
2023-01-06 17:00:00,Dresden,SMT-01,A,ECU100137,Transmission ECU,Bosch,OP0174,81.9,38.95,12.2,2.07,88,30.3,49,0,None,Pass,No,159.43,218.93
2023-01-06 18:00:00,Wolfsburg,SMT-02,C,ECU100138,ADAS ECU,ZF,OP0126,75.51,33.71,11.71,2.06,86,24.9,56,0,None,Pass,No,143.47,232.99
2023-01-06 19:00:00,Nuremberg,SMT-02,C,ECU100139,ADAS ECU,Hella,OP0049,92.33,47.7,11.97,1.78,72,32.1,61,60,None,Pass,No,116.96,209.82
2023-01-06 20:00:00,Nuremberg,SMT-01,B,ECU100140,Engine ECU,Infineon,OP0236,112.7,37.78,11.74,1.82,84,23.7,78,0,Sensor Failure,Fail,Yes,105.82,141.44
2023-01-06 21:00:00,Stuttgart,ASSY-01,A,ECU100141,Battery ECU,Bosch,OP0256,93.09,42.34,12.55,1.64,87,30.8,78,5,None,Pass,No,131.89,233.58
2023-01-06 22:00:00,Ingolstadt,EOL-02,C,ECU100142,Transmission ECU,Valeo,OP0116,65.1,30.54,11.49,2.1,76,22.3,79,5,None,Pass,No,132.84,233.02
2023-01-06 23:00:00,Wolfsburg,EOL-02,A,ECU100143,Engine ECU,Hella,OP0279,116.66,29.18,11.7,1.62,92,20.6,42,0,None,Pass,No,87.39,119.0
2023-01-07 00:00:00,Stuttgart,EOL-02,B,ECU100144,Engine ECU,Infineon,OP0085,96.92,21.94,11.86,1.79,87,26.2,33,10,None,Pass,No,105.82,158.14
2023-01-07 01:00:00,Munich,EOL-01,B,ECU100145,Transmission ECU,Valeo,OP0120,88.65,40.48,12.14,1.69,85,24.6,77,0,None,Pass,No,115.64,150.33
2023-01-07 02:00:00,Leipzig,EOL-01,A,ECU100146,Engine ECU,Valeo,OP0050,87.48,33.16,12.32,2.04,89,17.3,43,0,None,Pass,No,110.66,163.85
